top - 14:22:42 up  4:22,  1 user,  load average: 0.25, 0.55, 0.54
Threads: 1583 total,   1 running, 1578 sleeping,   4 stopped,   0 zombie
%Cpu(s):  1.3 us,  1.3 sy,  0.0 ni, 97.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7756.4 total,    264.6 free,   5050.0 used,   2441.8 buff/cache
MiB Swap:   8192.0 total,   6901.3 free,   1290.7 used.   1479.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    170 root      20   0       0      0      0 I   0.0   0.0   0:01.75 kworker+
    171 root      20   0       0      0      0 I   0.0   0.0   0:01.60 kworker+
    172 root      20   0       0      0      0 I   0.0   0.0   0:00.74 kworker+
    173 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
    176 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    177 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    178 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    188 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    261 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    262 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-re+
    264 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-de+
    267 root       0 -20       0      0      0 I   0.0   0.0   0:00.34 kworker+
    270 root       0 -20       0      0      0 I   0.0   0.0   0:01.13 kworker+
    271 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    272 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    273 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    274 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    275 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    276 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    277 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    278 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    279 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    280 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    281 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    282 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    288 root       0 -20       0      0      0 I   0.0   0.0   0:00.26 kworker+
    289 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker+
    290 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker+
    291 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker+
    292 root       0 -20       0      0      0 I   0.0   0.0   0:00.12 kworker+
    295 root       0 -20       0      0      0 I   0.0   0.0   0:00.16 kworker+
    297 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker+
    298 root       0 -20       0      0      0 I   0.0   0.0   0:00.11 kworker+
    319 root      20   0       0      0      0 S   0.0   0.0   0:01.96 jbd2/sd+
    320 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    361 root      19  -1  127724  41060  39872 S   0.0   0.5   0:01.70 systemd+
    390 root      20   0       0      0      0 I   0.0   0.0   0:01.64 kworker+
    396 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipmi-ms+
    424 root      20   0   28144   3288   1368 S   0.0   0.0   0:03.82 systemd+
    476 root      20   0       0      0      0 I   0.0   0.0   0:02.52 kworker+
    477 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/144+
    503 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    532 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    645 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    646 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    647 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    786 root     -51   0       0      0      0 S   0.0   0.0   0:44.74 irq/146+
    856 systemd+  20   0   14908    924    448 S   0.0   0.0   0:09.15 systemd+
    857 systemd+  20   0   25888   5140   2572 S   0.0   0.1   0:01.10 systemd+
    858 systemd+  20   0   89324   1084    548 S   0.0   0.0   0:00.06 systemd+
    860 systemd+  20   0   89324   1084    548 S   0.0   0.0   0:00.00 sd-reso+
    862 root      20   0  248628   2120   1488 S   0.0   0.0   0:00.05 account+
    907 root      20   0  248628   2120   1488 S   0.0   0.0   0:00.30 gmain
    963 root      20   0  248628   2120   1488 S   0.0   0.0   0:00.02 gdbus
    863 root      20   0    2812    124     52 S   0.0   0.0   0:12.43 acpid
    866 avahi     20   0    7704    952    720 S   0.0   0.0   0:00.07 avahi-d+
    867 root      20   0   10592   1616   1324 S   0.0   0.0   0:00.06 bluetoo+
    868 root      20   0   18148   1052    852 S   0.0   0.0   0:00.01 cron
    869 message+  20   0   11116   4028   1740 S   0.0   0.1   0:02.34 dbus-da+
    870 root      20   0  343596   7808   5596 S   0.0   0.1   0:00.93 Network+
   1020 root      20   0  343596   7808   5596 S   0.0   0.1   0:00.17 gmain
   1022 root      20   0  343596   7808   5596 S   0.0   0.1   0:00.45 gdbus
    877 root      20   0   82804   1248    996 S   0.0   0.0   0:00.57 irqbala+
    904 root      20   0   82804   1248    996 S   0.0   0.0   0:00.00 gmain
    878 root      20   0   49676   6568   1868 S   0.0   0.1   0:00.12 network+
    879 root      20   0  251704   6288   2824 S   0.0   0.1   0:01.17 polkitd
    906 root      20   0  251704   6288   2824 S   0.0   0.1   0:00.00 gmain
    966 root      20   0  251704   6288   2824 S   0.0   0.1   0:00.43 gdbus
    880 root      20   0  248740   1856   1444 S   0.0   0.0   0:00.68 power-p+
    905 root      20   0  248740   1856   1444 S   0.0   0.0   0:00.00 gmain
    964 root      20   0  248740   1856   1444 S   0.0   0.0   0:00.01 gdbus
    881 syslog    20   0  222400   1992   1168 S   0.0   0.0   0:00.01 rsyslogd
    949 syslog    20   0  222400   1992   1168 S   0.0   0.0   0:00.20 in:imux+
    950 syslog    20   0  222400   1992   1168 S   0.0   0.0   0:00.01 in:imkl+
    951 syslog    20   0  222400   1992   1168 S   0.0   0.0   0:00.18 rs:main+
    883 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.59 snapd
   1069 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.86 snapd
   1070 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.18 snapd
   1071 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.00 snapd
   1072 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.22 snapd
   1073 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.00 snapd
   1074 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.18 snapd
   1086 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.20 snapd
   1087 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.15 snapd
   1088 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.14 snapd
   1089 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.19 snapd
   1090 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.36 snapd
   1092 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.14 snapd
   1093 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.21 snapd
   1094 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.12 snapd
   1101 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.03 snapd
   1102 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.12 snapd
   1123 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.14 snapd
   1133 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.80 snapd
   1134 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.14 snapd
   1135 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.02 snapd
   1136 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.19 snapd
   3387 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.00 snapd
   3388 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.22 snapd
   3389 root      20   0 1909048  18788   5448 S   0.0   0.2   0:00.09 snapd
    884 root      20   0  245024   1712   1384 S   0.0   0.0   0:00.03 switche+
    914 root      20   0  245024   1712   1384 S   0.0   0.0   0:00.00 gmain
    967 root      20   0  245024   1712   1384 S   0.0   0.0   0:00.00 gdbus
    885 root      20   0   48196   3128   2364 S   0.0   0.0   0:00.37 systemd+
    886 root      20   0  284836   2616   2016 S   0.0   0.0   0:00.10 thermald
   1005 root      20   0  284836   2616   2016 S   0.0   0.0   0:00.00 gmain
   1006 root      20   0  284836   2616   2016 S   0.0   0.0   0:00.00 gdbus
   1021 root      20   0  284836   2616   2016 S   0.0   0.0   0:00.71 thermald
    887 root      20   0  393440   4748   2416 S   0.0   0.1   0:00.12 udisksd
    939 root      20   0  393440   4748   2416 S   0.0   0.1   0:00.00 gmain
    968 root      20   0  393440   4748   2416 S   0.0   0.1   0:00.02 gdbus
   1028 root      20   0  393440   4748   2416 S   0.0   0.1   0:00.00 probing+
   1049 root      20   0  393440   4748   2416 S   0.0   0.1   0:00.00 cleanup
